scenario_id,controller_type,closed_loop_steps,dt_hours,total_cost,energy_cost,demand_charge_cost,cold_station_proxy_total_cost,cold_station_proxy_energy_cost,cold_station_proxy_grid_import_kwh,cold_station_proxy_pv_spill_kwh,grid_import_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_step_count,pv_actual_kwh,pv_used_kwh,pv_spill_kwh,pv_spill_reduction_vs_no_tes,tes_charge_during_pv_surplus_kwh_th,soc_headroom_before_pv_hours,pv_self_consumption_ratio,pv_load_coverage_ratio,it_energy_kwh,facility_energy_kwh,cold_station_energy_kwh,pue_avg,pue_p95,temp_violation_count,temp_violation_degree_hours,max_temp_c,soc_min,soc_max,soc_violation_count,initial_soc,final_soc_after_last_update,soc_delta,soc_inventory_delta_kwh_th,tes_charge_kwh_th,tes_discharge_kwh_th,tes_equivalent_cycles,tes_charge_weighted_avg_price,tes_discharge_weighted_avg_price,tes_arbitrage_price_spread,charge_steps,discharge_steps,idle_steps,charge_discharge_switch_count,first_discharge_step,first_discharge_timestamp,avg_chiller_plr,avg_mode_specific_plr,weighted_avg_chiller_cop,time_in_high_plr_region,low_plr_hours,high_plr_hours,time_in_each_mode,mode_switch_count,max_signed_du,signed_valve_violation_count,physical_consistency_violation_count,max_chiller_supply_deficit_kw_th,max_signed_valve_du,tes_discharge_during_peak_cap_violation_kwh_th,dr_event_count,dr_requested_reduction_kwh,dr_served_reduction_kwh,dr_response_rate_avg,dr_revenue_cny,solve_time_avg_s,solve_time_p95_s,optimal_rate,feasible_rate,fallback_count,has_nan,run_dir,peak_cap_reference_source,peak_cap_reference_kw
tou_screen_g0_cp0_hot_mpc_no_tes,mpc_no_tes,96,0.25,40896.03977462479,40896.03977462479,0.0,2617.7761861316403,2617.7761861316403,29000.722068113715,5696.49,455304.23206811375,21049.2,0.0,0,20343.6,20343.6,0.0,,0.0,0.0,1.0,0.4660850043652389,432000.0,475647.8320681137,43647.83206811372,1.1010366483058187,1.1716666666666666,0,0.0,27.0,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,96,0,,,0.9712104311119499,0.9712104311119499,7.098087415687333,14.5,0.0,14.5,"{'-1': 9.5, '2': 14.5}",7,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.08010616145747917,0.28212949999578996,1.0,1.0,0,False,runs\china_tou_dr_pilot_20260506\tou_screen_g0_cp0_hot_mpc_no_tes,,
tou_screen_g0_cp0_hot_mpc_tes,mpc,96,0.25,40807.02050757397,40807.02050757397,0.0,2570.5318414917815,2570.5318414917815,28717.84534076231,6096.78,454621.06534076226,21090.0,0.0,0,20343.6,20343.6,0.0,,0.0,0.0,1.0,0.47349606563091756,432000.0,474964.66534076235,42964.66534076231,1.0994552438443572,1.1716666666666666,1,0.0003112661489135249,27.001245064595654,0.15007503751876994,0.5,0,0.5,0.15000000000001057,-0.34999999999998943,-6299.99999999981,0.0,5484.254239213409,0.30468079106741164,,106.45158245336494,,0,20,76,0,38.0,2025-07-01 09:30:00,0.9729668955409309,0.9729668955409309,7.09944135099994,14.25,0.0,14.25,"{'-1': 9.75, '2': 14.25}",5,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,0,0.0,0.0,0.0,0.0,0.08322314062540197,0.28031779999582795,1.0,1.0,0,False,runs\china_tou_dr_pilot_20260506\tou_screen_g0_cp0_hot_mpc_tes,,
tou_screen_g0_cp0_mild_mpc_no_tes,mpc_no_tes,96,0.25,39187.62919774877,39187.62919774877,0.0,1271.2727730364468,1271.2727730364468,14409.789024015437,9682.035,436727.7540240154,20397.0,0.0,0,20343.6,20343.6,0.0,,0.0,0.0,1.0,0.8114280537267033,432000.0,457071.3540240154,25071.354024015436,1.058035541722258,1.1716666666666666,0,1.7763568394002505e-15,27.000000000000007,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,96,0,,,0.8902258306884493,0.8902258306884493,7.030522336666457,8.75,0.0,8.75,"{'-1': 15.0, '2': 9.0}",5,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.09943268958431872,0.220616999991762,1.0,1.0,0,False,runs\china_tou_dr_pilot_20260506\tou_screen_g0_cp0_mild_mpc_no_tes,,
tou_screen_g0_cp0_mild_mpc_tes,mpc,96,0.25,39060.9859683063,39060.9859683063,0.0,1159.3242070460324,1159.3242070460324,12967.402457386765,9872.475000000002,435094.92745738674,20904.56850921084,0.0,0,20343.6,20343.6,0.0,,0.0,0.0,1.0,0.8679555504067562,432000.0,455438.5274573868,23438.527457386765,1.0542558505958026,1.1716666666666666,0,1.3322676295501878e-14,27.000000000000053,0.1502104521967881,0.5,0,0.5,0.15349086379631108,-0.34650913620368895,-6237.164451666401,78.91252155558335,5466.935674529547,0.3037186485849748,99.47937200964306,109.24259962834101,9.763227618697954,10,13,73,1,71.0,2025-07-01 17:45:00,0.8673171493459807,0.8673171493459807,7.0112574925141375,7.75,0.0,7.75,"{'-1': 15.25, '0': 0.25, '2': 8.5}",7,0.10000000000000003,0,0,7.275957614183426e-11,0.10000000000000003,0.0,0,0.0,0.0,0.0,0.0,0.14579375312541742,0.35146945000087726,1.0,1.0,0,False,runs\china_tou_dr_pilot_20260506\tou_screen_g0_cp0_mild_mpc_tes,,
tou_screen_g0_cp0p2_hot_mpc_no_tes,mpc_no_tes,96,0.25,41661.394066740446,41661.394066740446,0.0,2922.86996328064,2922.86996328064,32206.81627847864,8676.895703789047,455529.92057468963,21089.999999999967,0.0,0,20343.6,20343.6,0.0,,0.0,0.0,1.0,0.4636874299924797,432000.0,475873.5205746896,43873.520574689595,1.101559075404374,1.1716666666666666,0,0.0,27.0,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,96,0,,,0.9682594245862679,0.9682594245862679,7.0970639029098725,14.75,0.0,14.75,"{'-1': 9.25, '0': 0.25, '2': 14.5}",7,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.07839489791588979,0.2291932000007364,1.0,1.0,0,False,runs\china_tou_dr_pilot_20260506\tou_screen_g0_cp0p2_hot_mpc_no_tes,,
tou_screen_g0_cp0p2_hot_mpc_tes,mpc,96,0.25,41579.403341672165,41579.403341672165,0.0,2803.4405743242232,2803.4405743242232,31034.860471654454,8310.689999999999,454724.17047165445,21090.0,0.0,0,20343.6,20343.6,0.0,,0.0,0.0,1.0,0.4723625062827288,432000.0,475067.7704716545,43067.770471654454,1.09969391312883,1.1716666666666666,0,1.7763568394002505e-15,27.000000000000007,0.15007503751875928,0.5,0,0.5,0.1558749999999999,-0.3441250000000001,-6194.250000000002,112.5,5451.202882361995,0.30284460457566637,87.96164383561644,110.09520617111038,22.133562335493934,1,13,82,1,73.0,2025-07-01 18:15:00,0.9755770859384435,0.9755770859384435,7.101445305672286,14.25,0.0,14.25,"{'-1': 9.75, '2': 14.25}",5,0.10000000000011272,0,0,0.0,0.10000000000011272,0.0,0,0.0,0.0,0.0,0.0,0.10974432812569528,0.35661104999599047,1.0,1.0,0,False,runs\china_tou_dr_pilot_20260506\tou_screen_g0_cp0p2_hot_mpc_tes,,
tou_screen_g0_cp0p2_mild_mpc_no_tes,mpc_no_tes,96,0.25,39905.548022620584,39905.548022620584,0.0,1315.048646261459,1315.048646261459,14309.388750987866,10192.15523087009,436117.23352011776,21031.282785309777,0.0,0,20343.6,20343.6,0.0,,0.0,0.0,1.0,0.8316805714436687,432000.0,456460.8335201178,24460.833520117776,1.0566222998150876,1.1716666666666666,0,0.0,26.997094884376757,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,96,0,,,0.8838026410872344,0.8838026410872344,7.030784021313438,9.25,0.0,9.25,"{'-1': 14.75, '0': 0.75, '2': 8.5}",7,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.12606844791707772,0.2994122499949299,1.0,1.0,0,False,runs\china_tou_dr_pilot_20260506\tou_screen_g0_cp0p2_mild_mpc_no_tes,,
tou_screen_g0_cp0p2_mild_mpc_tes,mpc,96,0.25,39805.174490449586,39805.174490449586,0.0,1280.3076758797272,1280.3076758797272,14041.97332380118,10869.315,435172.6583238011,21008.519999999964,0.0,0,20343.6,20343.6,0.0,,0.0,0.0,1.0,0.8650866017834954,432000.0,455516.25832380116,23516.25832380118,1.054435783156947,1.1716666666666666,0,8.881784197001252e-16,27.000000000000004,0.15287223835554734,0.5,0,0.5,0.1534141183644128,-0.34658588163558723,-6238.545869440571,136.09092290614032,5512.500000000119,0.30625000000000663,79.6271939724873,109.79021526418788,30.163021291700574,8,13,75,2,72.0,2025-07-01 18:00:00,0.8584636489160319,0.8584636489160319,7.004359861809816,8.75,0.0,8.75,"{'-1': 15.0, '0': 0.5, '2': 8.5}",9,0.10000000000001755,0,0,3.637978807091713e-12,0.10000000000001755,0.0,0,0.0,0.0,0.0,0.0,0.16754594166665507,0.4085719499926199,1.0,1.0,0,False,runs\china_tou_dr_pilot_20260506\tou_screen_g0_cp0p2_mild_mpc_tes,,
tou_screen_g0p5_cp0_hot_mpc_no_tes,mpc_no_tes,96,0.25,41256.53720573675,41256.53720573675,0.0,2567.8266164497245,2567.8266164497245,31597.997952794416,6528.086916883949,457069.9110359105,21090.0,0.0,0,20343.6,20343.6,0.0,,0.0,0.0,1.0,0.4479636023718452,432000.0,477413.51103591046,45413.511035910466,1.1051238681386817,1.1716666666666666,0,0.0,27.0,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,96,0,,,0.9254680830048891,0.9254680830048891,7.0612177619920775,15.75,0.0,15.75,"{'-1': 8.25, '2': 15.75}",5,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.047626917708991336,0.156524050009466,1.0,1.0,0,False,runs\china_tou_dr_pilot_20260506\tou_screen_g0p5_cp0_hot_mpc_no_tes,,
tou_screen_g0p5_cp0_hot_mpc_tes,mpc,96,0.25,41119.863251595,41119.863251595,0.0,2459.4888412662267,2459.4888412662267,30639.91465238865,6665.1,455974.81465238857,21090.0,0.0,0,20343.6,20343.6,0.0,,0.0,0.0,1.0,0.4590326653054936,432000.0,476318.41465238866,44318.414652388645,1.1025889228064552,1.1716666666666666,0,0.0,27.0,0.14999999999999997,0.5,0,0.5,0.15587499999999999,-0.344125,-6194.25,122.55319148936114,5454.514345384219,0.30302857474356776,85.4808219178082,150.91641974477304,65.43559782696484,7,13,76,1,75.0,2025-07-01 18:45:00,0.9511403235302706,0.9511403235302706,7.08229997004354,15.0,0.0,15.0,"{'-1': 9.0, '2': 15.0}",7,0.10000000000000026,0,0,0.0,0.10000000000000026,0.0,0,0.0,0.0,0.0,0.0,0.10259262812572463,0.3594788750051521,1.0,1.0,0,False,runs\china_tou_dr_pilot_20260506\tou_screen_g0p5_cp0_hot_mpc_tes,,
