scenario_id,controller_type,closed_loop_steps,dt_hours,total_cost,energy_cost,demand_charge_cost,cold_station_proxy_total_cost,cold_station_proxy_energy_cost,cold_station_proxy_grid_import_kwh,cold_station_proxy_pv_spill_kwh,grid_import_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_step_count,pv_actual_kwh,pv_used_kwh,pv_spill_kwh,pv_spill_reduction_vs_no_tes,tes_charge_during_pv_surplus_kwh_th,soc_headroom_before_pv_hours,pv_self_consumption_ratio,pv_load_coverage_ratio,it_energy_kwh,facility_energy_kwh,cold_station_energy_kwh,pue_avg,pue_p95,temp_violation_count,temp_violation_degree_hours,max_temp_c,soc_min,soc_max,soc_violation_count,initial_soc,final_soc_after_last_update,soc_delta,soc_inventory_delta_kwh_th,tes_charge_kwh_th,tes_discharge_kwh_th,tes_equivalent_cycles,tes_charge_weighted_avg_price,tes_discharge_weighted_avg_price,tes_arbitrage_price_spread,charge_steps,discharge_steps,idle_steps,charge_discharge_switch_count,first_discharge_step,first_discharge_timestamp,avg_chiller_plr,avg_mode_specific_plr,weighted_avg_chiller_cop,time_in_high_plr_region,low_plr_hours,high_plr_hours,time_in_each_mode,mode_switch_count,max_signed_du,signed_valve_violation_count,physical_consistency_violation_count,max_chiller_supply_deficit_kw_th,max_signed_valve_du,tes_discharge_during_peak_cap_violation_kwh_th,dr_event_count,dr_requested_reduction_kwh,dr_served_reduction_kwh,dr_response_rate_avg,dr_revenue_cny,solve_time_avg_s,solve_time_p95_s,optimal_rate,feasible_rate,fallback_count,has_nan,run_dir,peak_cap_reference_source,peak_cap_reference_kw
tou_screen_g0_cp0_hot_mpc_no_tes,mpc_no_tes,2880,0.25,1276706.4982035677,1276706.4982035677,0.0,122898.18937397852,122898.18937397852,1427213.0449748375,116332.80000000012,14270880.244974837,21090.00000000003,0.0,0,386724.95999999996,386724.95999999996,0.0,,0.0,0.0,1.0,0.22780618182996926,12960000.0,14657605.204974838,1697605.2049748371,1.1309880559394165,1.1716666666666666,0,0.0,27.0,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,2880,0,,,0.9545292073789194,0.9545292073789194,7.085007304602575,572.75,0.0,572.75,"{'-1': 147.25, '2': 572.75}",181,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.09479449916671001,0.3698939949928899,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\tou_screen_g0_cp0_hot_mpc_no_tes,,
tou_screen_g0_cp0_hot_mpc_tes,mpc,2880,0.25,1276355.210479532,1276355.210479532,0.0,123383.56477410744,123383.56477410744,1436922.0695208157,124349.76000000001,14272572.309520815,21090.0,0.0,0,386724.95999999996,386724.95999999996,0.0,,0.0,0.0,1.0,0.2275793452602042,12960000.0,14659297.269520815,1699297.2695208155,1.1311186164753715,1.1716666666666666,1,0.0003112661489135249,27.001245064595654,0.14999999999998942,0.5,0,0.5,0.15,-0.35,-6300.0,7333.601732477096,8294.898340943244,0.460827685607958,84.23925265203401,108.115308094828,23.876055442793984,551,107,2222,58,38.0,2025-07-01 09:30:00,0.9560623512232844,0.9560623512232844,7.086226482934841,572.25,0.0,572.25,"{'-1': 147.5, '2': 572.5}",121,0.10000000000000003,0,0,1.6261765267699957e-09,0.10000000000000003,0.0,0,0.0,0.0,0.0,0.0,0.16924571989572743,0.44954328500534746,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\tou_screen_g0_cp0_hot_mpc_tes,,
tou_screen_g0_cp0_mild_mpc_no_tes,mpc_no_tes,2880,0.25,1222748.4177696616,1222748.4177696616,0.0,73337.59796592797,73337.59796592797,877922.8812865089,163022.73948692603,13674900.141799584,21090.000000000022,0.0,0,386724.95999999996,386724.95999999996,0.0,,0.0,0.0,1.0,0.35104951708912335,12960000.0,14061625.101799583,1101625.101799583,1.0850019368672519,1.1716666666666666,0,5.417888360170764e-14,27.000000000000007,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,2880,0,,,0.9230507550092607,0.9230507550092607,7.0518264781830995,428.5,0.0,428.5,"{'-1': 284.0, '0': 79.25, '2': 356.75}",268,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1405217983681976,0.29313976000339603,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\tou_screen_g0_cp0_mild_mpc_no_tes,,
tou_screen_g0_cp0_mild_mpc_tes,mpc,2880,0.25,1223029.5665862898,1223029.5665862898,0.0,74263.61281058901,74263.61281058901,888489.7747542675,170491.1390232117,13677998.635731056,21090.00000000003,0.0,0,386724.95999999996,386724.95999999996,0.0,,0.0,0.0,1.0,0.35006490446515987,12960000.0,14064723.595731057,1104723.5957310558,1.0852410181891248,1.1716666666666666,0,1.4210854715202004e-14,27.000000000000053,0.15000000000000446,0.5,0,0.5,0.15341411836441085,-0.3465858816355891,-6238.545869440604,5685.67386781676,6755.790958691616,0.375321719927312,87.06066964433988,108.773956100556,21.713286456216125,708,51,2121,39,71.0,2025-07-01 17:45:00,0.8798586571088058,0.8798586571088058,7.0218821114932295,413.25,0.0,413.25,"{'-1': 295.75, '0': 38.0, '2': 386.25}",362,0.10000000000000306,0,0,1.3205863069742918e-09,0.10000000000000306,0.0,0,0.0,0.0,0.0,0.0,0.22539115048588326,0.4537329199927626,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\tou_screen_g0_cp0_mild_mpc_tes,,
tou_screen_g0_cp0p2_hot_mpc_no_tes,mpc_no_tes,2880,0.25,1300661.7099745604,1300661.7099745604,0.0,128473.07636356898,128473.07636356898,1472589.2142626208,162255.52249977604,14270333.691762846,21090.000000000062,0.0,0,386724.95999999996,386724.95999999996,0.0,,0.0,0.0,1.0,0.22787954888788534,12960000.0,14657058.651762847,1697058.6517628448,1.1309458836236765,1.171666666666668,0,0.0,27.0,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,2880,0,,,0.9844354650038012,0.9844354650038012,7.108939285168947,565.75,0.0,565.75,"{'-1': 154.25, '0': 14.75, '2': 551.0}",152,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.13041680656220805,0.35976450499074414,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\tou_screen_g0_cp0p2_hot_mpc_no_tes,,
tou_screen_g0_cp0p2_hot_mpc_tes,mpc,2880,0.25,1300931.3698406904,1300931.3698406904,0.0,127758.74932293162,127758.74932293162,1464677.7848861252,152630.66999999998,14272047.114886124,21090.0,0.0,0,386724.95999999996,386724.95999999996,0.0,,0.0,0.0,1.0,0.22764970399335271,12960000.0,14658772.074886126,1698772.074886125,1.1310780921980035,1.1716666666666666,0,1.2434497875801753e-14,27.000000000000007,0.1499999999999643,0.5,0,0.5,0.15587499999999824,-0.3441250000000018,-6194.250000000032,69455.10638298256,60191.76831122009,3.3439871284011162,77.69716256959182,108.14579154681343,30.448628977221603,322,320,2238,59,73.0,2025-07-01 18:15:00,0.9723459331267219,0.9723459331267219,7.098963194584278,561.0,0.0,561.0,"{'-1': 156.25, '2': 563.75}",121,0.10000000000011272,0,0,0.0,0.10000000000011272,0.0,0,0.0,0.0,0.0,0.0,0.13345336670141578,0.41514781499354275,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\tou_screen_g0_cp0p2_hot_mpc_tes,,
tou_screen_g0_cp0p2_mild_mpc_no_tes,mpc_no_tes,2880,0.25,1246827.7203233573,1246827.7203233573,0.0,78262.4444090015,78262.4444090015,915285.0106043381,198037.8146943397,13677247.19591,21090.000000000164,0.0,0,386724.95999999996,386724.95999999996,0.0,,0.0,0.0,1.0,0.35030318285629647,12960000.0,14063972.155909998,1103972.1559099983,1.0851830367214506,1.1716666666666666,18,0.0025806494177027517,27.00057347764837,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,2880,0,,,0.8994684730672144,0.8994684730672144,7.039012905944595,383.25,0.0,383.25,"{'-1': 326.0, '0': 2.25, '2': 391.75}",325,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.16437872753482832,0.350109029997111,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\tou_screen_g0_cp0p2_mild_mpc_no_tes,,
tou_screen_g0_cp0p2_mild_mpc_tes,mpc,2880,0.25,1247255.432239973,1247255.432239973,0.0,79279.7003314443,79279.7003314443,924107.5276781529,203752.00550204772,13680355.522176106,21090.0,0.0,0,386724.95999999996,386724.95999999996,0.0,,0.0,0.0,1.0,0.3493196440784898,12960000.0,14067080.482176106,1107080.4821761053,1.0854228767111194,1.1716666666666666,0,8.881784197001252e-16,27.000000000000004,0.146762372682158,0.5,0,0.5,0.15341411836441257,-0.34658588163558746,-6238.545869440574,11752.400853984222,11838.061270021457,0.6576700705567476,78.45478703350892,108.08277820586937,29.627991172360453,673,105,2102,76,72.0,2025-07-01 18:00:00,0.8616220447522477,0.8616220447522477,7.004813869033407,413.25,0.0,413.25,"{'-1': 297.0, '0': 22.75, '2': 400.25}",372,0.10000000000005643,0,0,1.6261765267699957e-09,0.10000000000005643,0.0,0,0.0,0.0,0.0,0.0,0.21441734454856487,0.4369422950003352,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\tou_screen_g0_cp0p2_mild_mpc_tes,,
tou_screen_g0p5_cp0_hot_mpc_no_tes,mpc_no_tes,2880,0.25,1280442.8654858284,1280442.8654858284,0.0,111498.55110687,111498.55110687,1451395.7164785536,124781.06691688395,14286614.64956167,21090.00000000009,0.0,0,386724.95999999996,386724.95999999996,0.0,,0.0,0.0,1.0,0.22571413036959873,12960000.0,14673339.609561669,1713339.6095616692,1.1322021303674128,1.1716666666666666,0,0.0,27.0,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,2880,0,,,0.9758643270321652,0.9758643270321652,7.101665247039628,566.75,0.0,566.75,"{'-1': 153.25, '2': 566.75}",121,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0655665385416594,0.2123566149995895,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\tou_screen_g0p5_cp0_hot_mpc_no_tes,,
tou_screen_g0p5_cp0_hot_mpc_tes,mpc,2880,0.25,1280532.5933626792,1280532.5933626792,0.0,111616.61516267927,111616.61516267927,1446043.9234429002,124918.08,14281125.8434429,21090.0,0.0,0,386724.95999999996,386724.95999999996,0.0,,0.0,0.0,1.0,0.22643954566780142,12960000.0,14667850.803442901,1707850.8034429003,1.1317786113767672,1.1716666666666666,0,0.0,27.0,0.14999999999999997,0.5,0,0.5,0.15587499999999999,-0.344125,-6194.25,82476.38297872158,70796.45748500082,3.93313652694449,54.54149615337225,154.34600936705073,99.80451321367848,674,274,1932,59,75.0,2025-07-01 18:45:00,0.9738110556874273,0.9738110556874273,7.100090500279615,566.0,0.0,566.0,"{'-1': 154.0, '2': 566.0}",123,0.10000000000021464,0,0,0.0,0.10000000000021464,0.0,0,0.0,0.0,0.0,0.0,0.10220393312506025,0.38555162499615103,1.0,1.0,0,False,runs\china_tou_dr_month_20260506\tou_screen_g0p5_cp0_hot_mpc_tes,,
